,Name,Image_x,Gender,Personality,Species,Birthday,Horoscope,Initial_Phrase,Initial Clothes,Home_Request,Skill,Goal,Coffee,Style,Favorite_Song,Appearances,Rank_Overall,Rank,Image_y,Updated Date,Tier
139,Dizzy,https://vignette.wikia.nocookie.net/animalcrossing/images/9/9c/Dizzy_NewLeaf_Official.png/revision/latest/scale-to-width-down/329?cb=20130721182759,Male,Lazy,Elephant,July 14th (Cancer),Cancer,"""woo-oo""",No. 5 Shirt,A super-fun play space,Chugging Milk,Journalist,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Basic,K.K. Gumbo,"AF, AF+, AC, AFe+, WW, CF, NL, NH, Nintendo Land",153,42,https://www.animalcrossingportal.com/images/villagers/icons/dizzy.png,1st May 2020,Tier 5
166,Doc,https://vignette.wikia.nocookie.net/animalcrossing/images/c/cd/Doc_NH.png/revision/latest/scale-to-width-down/252?cb=20200322125229,Male,Lazy,Rabbit,March 16th (Pisces),Pisces,"""ol' bunny""",Vertigo Tee (AFe+ - NL) Red Flannel Shirt(NH),A fun place for books,Typing,Programmer,"Kilimanjaro,  A little bit of milk, One spoonful of sugar",Official,Pondering,"AF, AF+, AC, AFe+, NL, HHD, NH",154,43,https://www.animalcrossingportal.com/images/villagers/icons/doc.png,1st May 2020,Tier 5
209,Dora,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a0/Dora_NewLeaf_Official.png/revision/latest?cb=20130818040250,Female,Normal,Mouse,February 18th (Aquarius),Aquarius,"""squeaky""",Sharp Outfit,A herb garden,Dusting,Translator,"Kilimanjaro,Lots of milk,Three spoonfuls of sugar",Iconic,Only Me,"AF, AF+, AC, AFe+, WW, CF, NL, NH",155,44,https://www.animalcrossingportal.com/images/villagers/icons/dora.png,1st May 2020,Tier 5
267,Dotty,https://vignette.wikia.nocookie.net/animalcrossing/images/c/cc/Dotty_NH.png/revision/latest/scale-to-width-down/253?cb=20200321142147,Female,Peppy,Rabbit,March 14th (Pisces),Pisces,"""wee one""",Blue-Check Tee,A two-tone room,Home Repair,Tennis Player,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Modern,K.K. Technopop,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",156,45,https://www.animalcrossingportal.com/images/villagers/icons/dotty.png,1st May 2020,Tier 5
77,Drift,https://vignette.wikia.nocookie.net/animalcrossing/images/2/28/Drift_NewLeaf_Official.png/revision/latest?cb=20130721183255,Male,Jock,Frog,October 9th (Libra),Libra,"""brah""","Blue Aloha Shirt (AC)No. 67 Shirt (WW, CF, NL, PC)",A hospital lobby,Shadow Puppetry,Tycoon,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Flashy,K.K. Country,"AF+, AC, AFe+, WW, CF, NL, NH",157,46,https://www.animalcrossingportal.com/images/villagers/icons/drift.png,1st May 2020,Tier 5
149,Elmer,https://vignette.wikia.nocookie.net/animalcrossing/images/1/15/Elmer_NewLeaf_Official.png/revision/latest/scale-to-width-down/265?cb=20130721184056,Male,Lazy,Horse,October 5th (Libra),Libra,"""tenderfoot""",Gaudy Sweater  Periwinkle Tee (NL),A sock shop for sock lovers,Playing Old Maid,Police Officer,"Blend, Lots of milk, Three spoonfuls of sugar",Basic,K.K. Waltz,"AF, AF+, AC, AFe+, WW, CF, NL, NH",158,47,https://www.animalcrossingportal.com/images/villagers/icons/elmer.png,1st May 2020,Tier 5
36,Elvis,https://vignette.wikia.nocookie.net/animalcrossing/images/b/ba/Elvis_NewLeaf_OfficialRender.png/revision/latest/scale-to-width-down/289?cb=20130709064606,Male,Cranky,Lion,July 23rd (Leo),Leo,"""unh-hunh""",Royal Shirt,A royal palace,Competitive Eating,Tycoon,"Blue Mountain, No milk, No sugar",Ornate,K.K. Casbah,"WW, CF, NL, NH",159,48,https://www.animalcrossingportal.com/images/villagers/icons/elvis.png,1st May 2020,Tier 5
324,Eugene,https://vignette.wikia.nocookie.net/animalcrossing/images/9/93/Eugene_HHD.png/revision/latest?cb=20160624003222,Male,Smug,Koala,October 26th (Scorpio),Scorpio,"""yeah buddy""",Pleather Vest,A space for self-reflection,Rapping,Guitarist,"Mocha, No milk, No sugar",Rock 'N' Roll,K.K. Cruisin',"NL, HHD, PC, NH",160,49,https://www.animalcrossingportal.com/images/villagers/icons/eugene.png,1st May 2020,Tier 5
220,Eunice,https://vignette.wikia.nocookie.net/animalcrossing/images/9/97/Eunice_NH.png/revision/latest/scale-to-width-down/350?cb=20200403102308,Female,Normal,Sheep,April 3rd (Aries),Aries,"""lambchop""",Red-Grid Tee,A toast-warm winter room,Dusting,Hair Stylist,"Blue Mountain,A little bit of milk,One spoonful of sugar",Basic,K.K. Waltz,"AF, AF+, AC, AFe+, CF, NL, HHD, NH",161,50,https://www.animalcrossingportal.com/images/villagers/icons/eunice.png,1st May 2020,Tier 5
169,Filbert,https://vignette.wikia.nocookie.net/animalcrossing/images/8/81/Filbert_NH.png/revision/latest?cb=20200309020807,Male,Lazy,Squirrel,June 3rd (Gemini),Gemini,"""bucko""","Vogue Top (AC, WW, CF)Checkered Tee (NL, PC)",A bounty of balloons,Vaulting,Pilot,"Blue Mountain, Lots of milk, Three spoonfuls of sugar.",Basic,Two Days Ago,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",162,51,https://www.animalcrossingportal.com/images/villagers/icons/filbert.png,1st May 2020,Tier 5
21,Frank,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a7/Frank_NH_cropped.png/revision/latest/scale-to-width-down/350?cb=20200308183342,Male,Cranky,Eagle,July 30th (Leo),Leo,"""crushy""",Blue Aloha Shirt (AFe+)Black Letter Jacket (NL),A miniatures museum,Pretending To Sleep,Teacher,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Rock 'N' Roll,K.K. Casbah,"AFe+, NL, NH",163,52,https://www.animalcrossingportal.com/images/villagers/icons/frank.png,1st May 2020,Tier 5
374,Friga,https://vignette.wikia.nocookie.net/animalcrossing/images/8/8c/Friga_NH.png/revision/latest/scale-to-width-down/347?cb=20200226232456,Female,Snooty,Penguin,October 16th (Libra),Libra,"""brrmph""",Cozy Sweater  (AC)   Picnic Tee  (WW - NL) Candy Gingham Tank(NH),"A classic, royal room",Board Games,Drummer,"Blend,A little bit of milk,One spoonful of sugar",Ornate,K.K. Tango,"AF, AF+, AC, AFe+, WW, CF, NL, NH",164,53,https://www.animalcrossingportal.com/images/villagers/icons/friga.png,1st May 2020,Tier 5
268,Gabi,https://vignette.wikia.nocookie.net/animalcrossing/images/8/86/Gabi_NH.png/revision/latest/scale-to-width-down/248?cb=20200322125311,Female,Peppy,Rabbit,December 16th (Sagittarius),Sagittarius,"""honeybun""",Waffle Tee,A room with a piano,Eating Quickly,Pianist,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Ornate,K.K. Love Song,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH",165,54,https://www.animalcrossingportal.com/images/villagers/icons/gabi.png,1st May 2020,Tier 5
214,Gala,https://vignette.wikia.nocookie.net/animalcrossing/images/f/fb/Gala_NewLeaf_Official.png/revision/latest/scale-to-width-down/282?cb=20130721190601,Female,Normal,Pig,March 5th (Pisces),Pisces,"""snortie""",Daisy Tee,The town bank,Rock-Paper-Scissors,Violinist,"Mocha,No milk,No sugar",Cute,Two Days Ago,"CF, NL, HHD, NH",166,55,https://www.animalcrossingportal.com/images/villagers/icons/gala.png,1st May 2020,Tier 5
44,Gaston,https://vignette.wikia.nocookie.net/animalcrossing/images/5/59/Gaston_NH.png/revision/latest/scale-to-width-down/256?cb=20200321205410,Male,Cranky,Rabbit,October 28th (Scorpio),Scorpio,"""mon chou""",Swell Tee,A backwater clinic,Ventriloquism,Tycoon,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Flashy,K.K. Dirge,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH",167,56,https://www.animalcrossingportal.com/images/villagers/icons/gaston.png,1st May 2020,Tier 5
170,Gayle,https://vignette.wikia.nocookie.net/animalcrossing/images/7/7a/Gayle_HD.png/revision/latest/scale-to-width-down/350?cb=20180518013116,Female,Normal,Alligator,May 17th (Taurus),Taurus,"""snacky""",Heart Tee,A home with heart,Hula Dancing,Gymnast,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Cute,Bubblegum K.K.,"NL, HHD, PC, NH",168,57,https://www.animalcrossingportal.com/images/villagers/icons/gayle.png,1st May 2020,Tier 5
212,Gladys,https://vignette.wikia.nocookie.net/animalcrossing/images/3/35/Gladys_NH.png/revision/latest/scale-to-width-down/350?cb=20200317170137,Female,Normal,Ostrich,January 15th (Capricorn),Capricorn,"""stretch""",Misty Tee,A peaceful zen garden,Calligraphy,Architect,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Iconic,K.K. Folk,"AFe+, WW, CF, PC, NH",169,58,https://www.animalcrossingportal.com/images/villagers/icons/gladys.png,1st May 2020,Tier 5
318,Graham,https://vignette.wikia.nocookie.net/animalcrossing/images/5/54/Graham_HHD.png/revision/latest?cb=20161013033113,Male,Smug,Hamster,June 20th (Gemini),Gemini,"""indeed""",Vegetarian Tee,A start-up company office,Computing,Writer,"Blend,The regular amount of milk,Two spoonfuls of sugar",Historical,Bubblegum K.K.,New Leaf Pocket Camp New Horizons,170,59,https://www.animalcrossingportal.com/images/villagers/icons/graham.png,1st May 2020,Tier 5
5,Groucho,https://vignette.wikia.nocookie.net/animalcrossing/images/0/01/Groucho_NewHorizons.png/revision/latest?cb=20200408174427,Male,Cranky,Bear,October 23rd (Libra),Libra,"""grumble""","Windsock Shirt (AC)Lite Polka Tee (CF, NL, PC)",A farming homestead,Competitive Eating,Pro Wrestler,"Blend,The regular amount of milk,Two spoonfuls of sugar",Historical,K.K. Metal,"AF, AF+, AC, AFe+, CF, NL, HHD, PC, NH",171,60,https://www.animalcrossingportal.com/images/villagers/icons/groucho.png,1st May 2020,Tier 5
375,Gwen,https://vignette.wikia.nocookie.net/animalcrossing/images/c/cd/Gwen_NewLeaf_Official.png/revision/latest/scale-to-width-down/350?cb=20130721191552,Female,Snooty,Penguin,January 23rd (Aquarius),Aquarius,"""h-h-hon""","Yellow Bolero (AC, WW, CF)Melon Gingham Tee (NL)",A day spa,Skimming Books,Ceo,"Blend,A little bit of milk,One spoonful of sugar",Ornate,Cafe K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, NH",172,61,https://www.animalcrossingportal.com/images/villagers/icons/gwen.png,1st May 2020,Tier 5
30,Hamphrey,https://vignette.wikia.nocookie.net/animalcrossing/images/a/ab/Hamphrey_HHD.png/revision/latest?cb=20161013032935,Male,Cranky,Hamster,February 25th (Pisces),Pisces,"""snort""",Beige Knit Shirt,A smoked-foods showcase,Eating Quickly,Fisherman,"Blue Mountain,Just a  little bit of milk,One spoonful of sugar",Historical,K.K. Rally,"NL, NH",173,62,https://www.animalcrossingportal.com/images/villagers/icons/hamphrey.png,1st May 2020,Tier 5
317,Hans,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e6/Hans_HD.png/revision/latest/scale-to-width-down/350?cb=20180518163420,Male,Smug,Gorilla,December 5th (Sagittarius),Sagittarius,"""groovy""",Blue Argyle Tee,An indoor ski run.,Spoon Bending,Painter,"Blue Mountain,None at all,None at all",Official,K.K. D & B,"NL, PC, NH",174,63,https://www.animalcrossingportal.com/images/villagers/icons/hans.png,1st May 2020,Tier 5
314,Henry,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d1/Henry_HD.png/revision/latest/scale-to-width-down/350?cb=20180518163033,Male,Smug,Frog,September 21st (Virgo),Virgo,"""snoozit""",Chain-Gang Tee,A contemplative train trip,Oversleeping,Writer,"Mocha, Just a little bit of milk, One spoonful of sugar",Basic,K.K. Soul,"NL, HHD, PC, NH",175,64,https://www.animalcrossingportal.com/images/villagers/icons/henry.png,1st May 2020,Tier 5
167,Hopkins,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c1/Hopkins_NH.png/revision/latest/scale-to-width-down/252?cb=20200321142217,Male,Lazy,Rabbit,March 11th (Pisces),Pisces,"""thumper""",Racer Tee (AFe+ - PC) Blue Stripe Tee(NH),Unknown,Oversleeping,Chef,"Blend, None at all, None at all",Sporty,I Love You,"AFe+, NL, PC, NH",176,65,https://www.animalcrossingportal.com/images/villagers/icons/hopkins.png,1st May 2020,Tier 5
41,Hopper,https://vignette.wikia.nocookie.net/animalcrossing/images/c/cb/Hopper_NH.png/revision/latest?cb=20200226233421,Male,Cranky,Penguin,April 6th (Aries),Aries,"""slushie""",Dragon Suit,A dharma dream,Mental Math,Firefighter,"Mocha,Lots of milk,Three spoonfuls of sugar",Rock 'N' Roll,Lucky K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH",177,66,https://www.animalcrossingportal.com/images/villagers/icons/hopper.png,1st May 2020,Tier 5
58,Jay,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f4/Jay_NewLeaf_Official.png/revision/latest/scale-to-width-down/313?cb=20130721212323,Male,Jock,Bird,July 17th (Cancer),Cancer,"""heeeeeyy""",Six-Ball Tee,A bowling alley,Tongue Twisters,Race Car Driver,"Killimanjaro, None at all, None at all",Sporty,K.K. Waltz,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH",178,67,https://www.animalcrossingportal.com/images/villagers/icons/jay.png,1st May 2020,Tier 5
142,Jeremiah,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e7/Jeremiah_NewLeaf_Official.png/revision/latest?cb=20130818040721,Male,Lazy,Frog,July 8th (Cancer),Cancer,"""nee-deep""",Sunset Tee,"A blue room, top to bottom",Hitting Snooze,Writer,"Kilimanjaro, None at all, None at all",Basic,K.K. Mambo,"AF, AF+, AC, AFe+, WW, CF, NL NH",179,68,https://www.animalcrossingportal.com/images/villagers/icons/jeremiah.png,1st May 2020,Tier 5
372,Julia,https://vignette.wikia.nocookie.net/animalcrossing/images/4/42/Julia_NH.png/revision/latest/scale-to-width-down/254?cb=20200308185019,Female,Snooty,Ostrich,July 31st (Leo),Leo,"""dahling""","Red Aloha Shirt (AFe+)Purple Tie-Dye Tee(NL, PC)",Unknown,Computing,Ceo,"Blue Mountain,Lots of milk,3 spoonfuls of sugar",Unknown,K.K. Sonata,"AFe+, NL, PC, NH",180,69,https://www.animalcrossingportal.com/images/villagers/icons/julia.png,1st May 2020,Tier 5
281,Katt,https://vignette.wikia.nocookie.net/animalcrossing/images/6/68/Katt_HD.png/revision/latest/scale-to-width-down/350?cb=20180404115701,Female,Sisterly,Cat,April 27th (Taurus),Taurus,"""purrty""",Pep-Squad Tee (NL)Old-School Jacket (NH),A gathering of Katts,Playing Old Maid,Swimmer,"Kilimanjaro,None at all,None at all",Rock 'N' Roll,Surfin' K.K.,"NL, NH",181,70,https://www.animalcrossingportal.com/images/villagers/icons/katt.png,1st May 2020,Tier 5
340,Kitty,https://vignette.wikia.nocookie.net/animalcrossing/images/6/64/Kitty_NewLeaf_Official.png/revision/latest/scale-to-width-down/230?cb=20130721192521,Female,Snooty,Cat,February 15th (Aquarius),Aquarius,"""mrowrr""",Crewel Tee,A sidewalk bistro,Writing Letters,Ceo,"Kilimanjaro,None at all,None at all",Official,K.K. Étude,"AF, AF+, AC, AFe+, CF, NL, NH",182,71,https://www.animalcrossingportal.com/images/villagers/icons/kitty.png,1st May 2020,Tier 5
313,Keaton,https://vignette.wikia.nocookie.net/animalcrossing/images/3/3b/Keaton_NH.png/revision/latest/scale-to-width-down/350?cb=20200226233737,Male,Smug,Eagle,June 1st (Gemini),Gemini,"""wingo""",Raglan Tee,A seaside breakfast nook,Tongue Twisters,Musician,"Blend,None at all,None at all",Flashy,K.K. Moody,"NL, NH",183,72,https://www.animalcrossingportal.com/images/villagers/icons/keaton.png,1st May 2020,Tier 5
107,Leonardo,https://vignette.wikia.nocookie.net/animalcrossing/images/0/0a/Leonardo_NH.png/revision/latest/scale-to-width-down/286?cb=20200308194554,Male,Jock,Tiger,May 15th (Taurus),Taurus,"""flexin""",Three-Ball Tee,A sports arena,Playing Catch,Soccer Player,"Mocha, A little bit of milk,One spoonful of sugar",Sporty,K.K. Safari,"AFe+, NL, NH",184,73,https://www.animalcrossingportal.com/images/villagers/icons/leonardo.png,1st May 2020,Tier 5
236,Merry,https://vignette.wikia.nocookie.net/animalcrossing/images/8/8e/Merry_NewLeaf_Official.png/revision/latest/scale-to-width-down/230?cb=20130721194909,Female,Peppy,Cat,June 29th (Cancer),Cancer,"""mweee""",Daisy Tee,An artsy room for sketching,Vaulting,Figure Skater,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Cute,Dj K.K.,"AFe+, CF, NL, PC, NH",185,73,https://www.animalcrossingportal.com/images/villagers/icons/merry.png,1st May 2020,Tier 5
308,Ken,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d0/Ken_NewLeaf_Official.png/revision/latest/scale-to-width-down/303?cb=20130721192335,Male,Smug,Chicken,December 23rd (Capricorn),Capricorn,"""no doubt""",Ninja Shirt,A ninja hideout,Clearing My Plate,Architect,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Iconic,Comrade K.K.,"NL, NH",186,74,https://www.animalcrossingportal.com/images/villagers/icons/ken.png,1st May 2020,Tier 5
111,Drago,https://vignette.wikia.nocookie.net/animalcrossing/images/6/69/Drago.png/revision/latest?cb=20161211213032,Male,Lazy,Alligator,February 12th (Aquarius),Aquarius,"""burrrn""",Dragon Suit,A mochi delight,Blowing Bubbles,Pilot,"Kilimanjaro, Just a little bit of milk,One spoonful of sugar",Iconic,Imperial K.K.,"NL, HHD, PC, NH",187,75,https://www.animalcrossingportal.com/images/villagers/icons/drago.png,1st May 2020,Tier 5
67,Kody,https://vignette.wikia.nocookie.net/animalcrossing/images/4/4d/Kody_NewLeaf_Official.png/revision/latest/scale-to-width-down/313?cb=20130721212358,Male,Jock,Cub,September 28th (Libra),Libra,"""grah-grah""","Far-Out Shirt  (AC)Orange Check Shirt  (WW, CF) Racer Tee  (NL)",A blue training space,Eating Frequently,Baseball Player,"Mocha,Lots of milk,Three spoonfuls of sugar",Sporty,K.K. Country,"AF, AF+, AC, AFe+, WW, CF, NL, NH",188,76,https://www.animalcrossingportal.com/images/villagers/icons/kody.png,1st May 2020,Tier 5
325,Leopold,https://vignette.wikia.nocookie.net/animalcrossing/images/7/7a/Leopold_HD.png/revision/latest/scale-to-width-down/350?cb=20180518164503,Male,Smug,Lion,August 14th (Leo),Leo,"""lion cub""",noble shirt,Unknown,Debating,Professor,"Mocha,Lots of milk,3 spoonfuls of sugar",Unknown,Mr. K.K.,"AF, AF+, AC, AFe+, NL, PC, NH",189,77,https://www.animalcrossingportal.com/images/villagers/icons/leopold.png,1st May 2020,Tier 5
326,Lionel,https://vignette.wikia.nocookie.net/animalcrossing/images/0/02/Lionel_HD.png/revision/latest/scale-to-width-down/350?cb=20180518164514,Male,Smug,Lion,July 29th (Leo),Leo,"""precisely""",Military Uniform,A guest bathroom or two,Drawing Circles,Professor,"Mocha, Lots of milk,  Three spoonfuls of sugar",Historical,K.K. Moody,"NL, NH",190,78,https://www.animalcrossingportal.com/images/villagers/icons/lionel.png,1st May 2020,Tier 5
215,Lucy,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d4/Lucy_NewLeaf_Official.png/revision/latest/scale-to-width-down/273?cb=20130721193539,Female,Normal,Pig,June 2nd (Gemini),Gemini,"""snoooink""",Natty Tee,A creepy-looking dollhouse.,Baton Twirling,Tour Guide,"Mocha,No milk,No sugar",Cute,Comrade K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH",191,79,https://www.animalcrossingportal.com/images/villagers/icons/lucy.png,1st May 2020,Tier 5
88,Lyman,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a0/Lyman_HD.png/revision/latest/scale-to-width-down/350?cb=20180518164248,Male,Jock,Koala,October 12th (Libra),Libra,"""chips""",Club Tee (NL)Vertical Stripe Shirt (NH),A veggie palace,Forgetting Stuff,Astronaut,"Mocha, No milk, No sugar",Official,K.K. Island,"NL, NH",192,80,https://www.animalcrossingportal.com/images/villagers/icons/lyman.png,1st May 2020,Tier 5
244,Maddie,https://vignette.wikia.nocookie.net/animalcrossing/images/5/52/Maddie_HD.png/revision/latest/scale-to-width-down/350?cb=20180518161841,Female,Peppy,Dog,January 11th (Capricorn),Capricorn,"""yippee""","Fortune Shirt (AF, AF+, AC, AFe+) Picnic Tee (HHD, NL)Layered Sleeveless Dress (NH)",A stationary room,Tongue Twisters,Tour Guide,"Blue mountain, lots of milk, 3 spoonfuls of sugar",Unknown,Forest Life,"AF, AF+, AC, AFe+, HHD (Discontinued DLC), NL, NH",193,81,https://www.animalcrossingportal.com/images/villagers/icons/maddie.png,1st May 2020,Tier 5
191,Margie,https://vignette.wikia.nocookie.net/animalcrossing/images/8/80/Margie_NewLeaf_Official.png/revision/latest/scale-to-width-down/350?cb=20130721194145,Female,Normal,Elephant,January 28th (Aquarius),Aquarius,"""tootie""",Hot Spring Tee,A place full of clothes,Playing Old Maid,Pastry Chef,"Blend,None at all,None at all",Iconic,K.K. Bossa,"AFe+, WW, CF, HHD, PC, NH, Dōbutsu no Mori",194,82,https://www.animalcrossingportal.com/images/villagers/icons/margie.png,1st May 2020,Tier 5
