,Name,Image,Gender,Personality,Species,Birthday,Horoscope,Initial_Phrase,Initial Clothes,Home_Request,Skill,Goal,Coffee,Style,Favorite_Song,Appearances
228,Marshal,https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/Marshal_NH.png/revision/latest/scale-to-width-down/350?cb=20200317171946,Male,Smug,Squirrel,September 29th (Libra),(Libra),"""sulky""",Denim Jacket(NL) Puffy Vest(NH),A world-famous café,Mental math,Designer,"Kilimanjaro,A little bit of milk,One spoonful of sugar",Ornate,[[Space K.K.(NL) K.K. Bossa(NH)]],"NL, PC, NH"
204,Kyle,https://vignette.wikia.nocookie.net/animalcrossing/images/c/cf/NH-icon-Kyle_00.png/revision/latest/scale-to-width-down/248?cb=20200224182134,Male,Smug,Wolf,December 6th (Sagittarius),(Sagittarius),"""alpha""",Pleather Vest (NL)Gilet and Shirt (NH),A piped room.,Typing,Singer,"Blue Mountain,Regular amount of milk,Two spoonfuls of sugar",Rock 'n' roll,K.K. Adventure,"NL, HHD, PC, NH"
6,Alli,https://vignette.wikia.nocookie.net/animalcrossing/images/8/83/Alli_NewHorizons.png/revision/latest?cb=20200412225958,Female,Snooty,Alligator,November 8th (Scorpio),(Scorpio),"""graaagh""",Leopard Tee,A mushroom manor,Yo-Yoing,Stylist,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Ornate,K.K. Chorale,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
334,Snooty,https://vignette.wikia.nocookie.net/animalcrossing/images/2/21/Snooty_HD.png/revision/latest/scale-to-width-down/350?cb=20180518155926,Female,Snooty,Anteater,October 24th (Scorpio),(Scorpio),"""snifffff""",Blossoming Shirt AFe+Misty Shirt NL,Unknown,Calligraphy,Archaeologist,"Kilimanjaro, A little bit of milk,1 spoonful of sugar",Historical,Imperial K.K.,"AF, AF+, AC, AFe+, NL, NH"
307,Robin,https://vignette.wikia.nocookie.net/animalcrossing/images/d/da/Robin_NewLeaf_Official.png/revision/latest/scale-to-width-down/278?cb=20130721210225,Female,Snooty,Bird,December 4th (Sagittarius),(Sagittarius),"""la-di-da""",Kiwi Tee,A country teahouse,Skimming books,Dermatologist,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Official,K.K. Bossa,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
10,Ankha,https://vignette.wikia.nocookie.net/animalcrossing/images/7/7e/Ankha_NLa.png/revision/latest?cb=20200413172251,Female,Snooty,Cat,September 22nd (Virgo),(Virgo),"""me meow""",Red Aloha Shirt  (Animal Forest)  Egyptian Outfit  (City Folk)   Mummy Shirt  (New Leaf)   Palatial Tank Dress   (New Horizons)  ,An ancient tomb,Writing about Pickles,Astronaut,"Kilimanjaro,No milk,No sugar",Historical,Marine Song 2001,"AF+, AC, AFe+, CF, NL, HHD, NH"
200,Kitty,https://vignette.wikia.nocookie.net/animalcrossing/images/6/64/Kitty_NewLeaf_Official.png/revision/latest/scale-to-width-down/230?cb=20130721192521,Female,Snooty,Cat,February 15th (Aquarius),(Aquarius),"""mrowrr""",Crewel Tee,A sidewalk bistro,Writing Letters,CEO,"Kilimanjaro,None at all,None at all",Official,K.K. Étude,"AF, AF+, AC, AFe+, CF, NL, NH"
241,Monique,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e7/-Monique_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/226?cb=20130708010412,Female,Snooty,Cat,September 30th (Libra),(Libra),"""pffffft""",Grape Tee,A room with stained glass,Juggling,Drummer,"Kilimanjaro,None at all,None at all",Ornate,K.K. Swing,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
257,Olivia,https://vignette.wikia.nocookie.net/animalcrossing/images/a/a2/-Olivia_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/258?cb=20130708015450,Female,Snooty,Cat,February 3rd (Aquarius),(Aquarius),"""purrr""",Floral Knit Tee,A piano conservatory,Brainteasers,Drummer,"Kilimanjaro,None at all,None at all",Modern,Two Days Ago,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
293,Purrl,https://vignette.wikia.nocookie.net/animalcrossing/images/0/09/Purrlypurl.png/revision/latest/scale-to-width-down/237?cb=20130719081804,Female,Snooty,Cat,May 29th (Gemini),(Gemini),"""kitten""","Deep Blue Shirt (AC)Asian Shirt (WW, CF)Periwinkle Tee (NL)",A cozy kotatsu cottage,Writing backward,Movie director,"Kilimanjaro,None at all,None at all",Iconic,K.K. Swing,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
31,Becky,https://vignette.wikia.nocookie.net/animalcrossing/images/0/09/Becky_NLa.png/revision/latest?cb=20200502235743,Female,Snooty,Chicken,December 9th (Sagittarius),(Sagittarius),"""chicklet""","Kaffe's Shirt (AFe+)Noble Shirt (CF, NL)Renaissance dress (NH)",A classical conservatory,Writing letters,Singer,"Mocha,Just a little bit of milk,One spoonful of sugar",Ornate,K.K. Aria,"AFe+, CF, NL, NH"
58,Broffina,https://vignette.wikia.nocookie.net/animalcrossing/images/e/e2/BroffinaHHD.png/revision/latest/scale-to-width-down/297?cb=20160315043436,Female,Snooty,Chicken, October 24th (Scorpio),(Scorpio),"""cluckadoo""",Fiendish ShirtRumba dress (red variant)(NH),A bus station.,Typing,Translator,"Blend,Lots of milk,Three spoonfuls of sugar",Flashy,K.K. Flamenco,"NL, HHD, NH"
249,Naomi,https://vignette.wikia.nocookie.net/animalcrossing/images/3/37/Naomi_HHD.png/revision/latest?cb=20160624002846,Female,Snooty,Cow,February 28th (Pisces),(Pisces),"""moolah""",Groovy Tee,An art gallery,Photography,Designer,"Kilimanjaro,The regular amount of milk,Two spoonfuls of sugar",Modern,K.K. Milonga,"NL, HHD, PC, NH"
363,Tipper,https://vignette.wikia.nocookie.net/animalcrossing/images/2/23/Tipper_-_Animal_Crossing_New_Leaf.png/revision/latest/scale-to-width-down/340?cb=20130708044642,Female,Snooty,Cow,August 25th (Virgo),(Virgo),"""pushy""",Rainbow Tee,A dairy farm,Staying up late,Violinist,"Blue Mountain,None at all,None at all",Flashy,Soulful K.K.,"WW, CF, NL, NH"
186,Judy,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d4/Judy_NH.png/revision/latest?cb=20200318005830,Female,Snooty,Cub,March 10th (Pisces),(Pisces),"""myohmy""",Red Riding Dress,Unknown,Pottery,Unknown,Unknown,Unknown,K.K. Lullaby,"PC, NH"
111,Diana,https://vignette.wikia.nocookie.net/animalcrossing/images/8/84/31a901eed448f9ee30fc1af858e29be5_clipped_rev_2.png/revision/latest?cb=20161008150800,Female,Snooty,Deer,January 4th (Capricorn),(Capricorn),"""no doy""",Natty Tee,A tranquil sanctuary,Playing poker,Dermatologist,"Kilimanjaro,The regular amount of milk,Two spoonfuls of sugar",Iconic,Stale Cupcakes,"NL, HHD, PC, NH"
287,Portia,https://vignette.wikia.nocookie.net/animalcrossing/images/b/b4/Portia_NewLeaf_Official.png/revision/latest/scale-to-width-down/305?cb=20130721204752,Female,Snooty,Dog,October 25th (Scorpio),(Scorpio),"""ruffian""","Polar Fleece (AC, WW, CF)Blue Diamond Tee (NL)Rad power skirt suit (NH)",A tribute to Festivale,Photography,Stylist,"Mocha,The regular amount of milk,Two spoonfuls sugar",Modern,Café K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
155,Gloria,https://vignette.wikia.nocookie.net/animalcrossing/images/8/80/Gloria_NewLeaf_Official.png/revision/latest?cb=20130721191051,Female,Snooty,Duck,August 12th (Leo),(Leo),"""quacker""","Turnip Top (CF)  Corseted Shirt (NL, PC)",An alpine homage,Boardgames,Stylist,"Blend,None at all,None at all",Ornate,K.K. Milonga,"CF, NL, NH"
220,Maelle,https://vignette.wikia.nocookie.net/animalcrossing/images/8/86/Maelle_-_Animal_Crossing_New_Leaf.png/revision/latest?cb=20130708041205,Female,Snooty,Duck,April 8th (Aries),(Aries),"""duckling""","Red Aloha Shirt (AF+, AC, AFe+)Heart Tee (WW, CF, NL)",A high-end fashion boutique.,Stomping Around,Makeup Artist,"Blend,None at all,None at all",Modern,Cafe K.K.,"AF+, AC, AFe+, WW, CF, NL, NH"
222,Mallary,https://vignette.wikia.nocookie.net/animalcrossing/images/f/fe/Mallary_-_Animal_Crossing_New_Leaf.png/revision/latest?cb=20130708041258,Female,Snooty,Duck,November 17th (Scorpio),(Scorpio),"""quackpth""",Blue-Stripe Tee,A harvest-centric home,Debating,Esthetician,"Blend,None at all,None at all",Modern,K.K. Bossa,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH"
237,Miranda,https://vignette.wikia.nocookie.net/animalcrossing/images/0/04/Miranda_NewLeaf_Official.png/revision/latest?cb=20130818041459,Female,Snooty,Duck,April 23rd (Taurus),(Taurus),"""quackulous""","Laced Shirt (AC, CF), Amethyst Tee (NL)",A stay-healthy home.,Subsistence Living,Model,"Blend,None at all,None at all",Ornate,K.K. Sonata,"AFe+, CF, NL, HHD, NH"
7,Amelia,https://vignette.wikia.nocookie.net/animalcrossing/images/a/ab/Amelia_NH.png/revision/latest/scale-to-width-down/350?cb=20200506031552,Female,Snooty,Eagle,November 19th (Scorpio),(Scorpio),"""cuz""",Spiderweb TeeAran-knit sweater (NH),"An elegant, lofty space",Playing poker,Lawyer,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Ornate,K.K. Condor,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
127,Eloise,https://vignette.wikia.nocookie.net/animalcrossing/images/7/7d/Eloise_NewLeaf_Official.png/revision/latest/scale-to-width-down/350?cb=20130721184250,Female,Snooty,Elephant,December 8th (Sagittarius),(Sagittarius),"""tooooot""","Green Bar Shirt (AF)Yellow-Bar Tee (WW, CF, NL, PC)",A nod to all things green,Memorizing stuff,Painter,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Official,K.K. Jazz,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
258,Opal,https://vignette.wikia.nocookie.net/animalcrossing/images/b/bf/Opal_NewLeaf_Official.png/revision/latest/scale-to-width-down/341?cb=20130721200200,Female,Snooty,Elephant,January 20th (Aquarius),(Aquarius),"""snoot""",Gray Tartan Tee,A serene spa,Memorizing,Doctor,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Official,Forest Life,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH"
153,Gigi,https://vignette.wikia.nocookie.net/animalcrossing/images/d/dc/Gigi_NewLeaf_Official.png/revision/latest?cb=20130721190743,Female,Snooty,Frog,August 11th (Leo),(Leo),"""ribette""",Beaded Tank,A space for a classy gal.,Subsistence Living,President,"Kilimanjaro,None at all,None at all",Ornate,Only Me,"CF, NL, NH"
371,Velma,https://vignette.wikia.nocookie.net/animalcrossing/images/8/89/Velma_NewLeaf_Official.png/revision/latest/scale-to-width-down/312?cb=20130721213040,Female,Snooty,Goat,January 14th (Capricorn),(Capricorn),"""blih""","Cool Shirt,Swell Tee (NL)",A fully outfitted classroom,Speed reader,Lawyer,"Mocha,Lots of milk,Three spoonfuls of sugar",Official,K.K. Étude,"AF, AF+, AC, AFe+, NL NH"
375,Violet,https://vignette.wikia.nocookie.net/animalcrossing/images/2/2c/Violet_NewLeaf_Official.png/revision/latest/scale-to-width-down/318?cb=20130721213423,Female,Snooty,Gorilla,September 1st (Virgo),(Virgo),"""sweetie""",Red Aloha Shirt (AFe+)Misty Tee (CF)(NL),A homey little restaurant,Blowing bubbles,Pharmacist,"Mocha,Lots of milk,Three spoonfuls of sugar",Historical,K.K. Faire,"AFe+, CF, NL, NH"
335,Soleil,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f8/Soleil_WA.png/revision/latest/scale-to-width-down/350?cb=20180505151740,Female,Snooty,Hamster,August 9th (Leo),(Leo),"""tarnation""",Swell Tee,A summery stronghold,Skimming books,Translator,"Kilimanjaro,Lots of milk,Three spoonfuls of sugar",Modern,K.K. Oasis,"NL, NH"
43,Bitty,https://vignette.wikia.nocookie.net/animalcrossing/images/2/25/Bitty_HD.png/revision/latest/scale-to-width-down/350?cb=20180518163632,Female,Snooty,Hippo,October 6th (Libra),(Libra),"""my dear""",Funky Dot Tee,Cute homey,Stomping ground,Designer,"Mocha, None at all, None at all",Cute,K.K. Disco,"AF, AF+, AC, AFe+, NL, NH"
14,Annalise,https://vignette.wikia.nocookie.net/animalcrossing/images/6/61/Annalise_NewLeaf_Official.png/revision/latest/scale-to-width-down/340?cb=20160930050833,Female,Snooty,Horse,December 2nd (Sagittarius),(Sagittarius),"""nipper""","Red Aloha Shirt (GCN), Tropical Tee  (NL) ",A stained-glass tearoom,Brainteasers,Chef,"Blend,Lots of milk,Three spoonfuls of sugar",Official,K.K. Sonata,"AF+, AC, AFe+, NL, HHD, NH"
88,Cleo,https://vignette.wikia.nocookie.net/animalcrossing/images/3/37/Cleo_HD.png/revision/latest/scale-to-width-down/350?cb=20180405152002,Female,Snooty,Horse,February 9th (Aquarius),(Aquarius),"""sugar""",Silk Bloom shirt,Unknown,Juggling,Dermatologist,"Mocha,A little bit of milk,1 spoonful of sugar",Unknown,[[K.K. Bossa (Animal Crossing)K.K. Synth (New Leaf)]],"AF, AF+, AC, AFe+, NL, NH"
18,Astrid,https://vignette.wikia.nocookie.net/animalcrossing/images/e/ed/Astrid_NL.png/revision/latest?cb=20130816174546,Female,Snooty,Kangaroo,September 8th (Virgo),(Virgo),"""my pet""",Star Tee,A playful rock studio,Karaoke,Singer,"Blue Mountain,Just a little bit of milk,One spoonful of sugar",Rock 'n' roll,I Love You,"AF, AF+, AC, AFe+, CF, NL, HHD, PC, NH"
229,Mathilda,https://vignette.wikia.nocookie.net/animalcrossing/images/3/3d/Mathilda_NewLeaf_Official.png/revision/latest/scale-to-width-down/299?cb=20130721194455,Female,Snooty,Kangaroo,November 12th (Scorpio),(Scorpio),"""wee baby""",U-R-Here Tee,A sustainable space,Pretending to sleep,Writer,"Blue Mountain,Just a little bit of milk,One spoonful of sugar",Rock 'n' roll,K.K. Ragtime,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
388,Yuka,https://vignette.wikia.nocookie.net/animalcrossing/images/b/b1/Yuka_HD.png/revision/latest/scale-to-width-down/350?cb=20180518164201,Female,Snooty,Koala,July 20th (Cancer),(Cancer),"""tsk tsk""",Lemon Gingham Tee,A jungle,Staying up late,Journalist,"Kilimanjaro,Lots of milk,Three spoonfuls of sugar",Modern,Soulful K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
124,Elise,https://vignette.wikia.nocookie.net/animalcrossing/images/9/9c/Elise_NewLeaf_Official.png/revision/latest/scale-to-width-down/295?cb=20130721183814,Female,Snooty,Monkey,March 21st (Aries),(Aries),"""puh-lease""","Cool ShirtGumdrop Tee (NL, PC)",An eyewear showroom.,Mental Math,Archaeologist,"Blend,  No milk,  No sugar",Official,Neapolitan,"WW, CF, NL, HHD, PC, NH"
55,Bree,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c8/BreeNL.png/revision/latest?cb=20190107181759,Female,Snooty,Mouse,July 7th (Cancer),(Cancer),"""cheeseball""",Floral Knit Tee,A tidied-up home,Doodling,Dermatologist,"Blend,The regular amount of milk,Two spoonfuls of sugar",Official,Two Days Ago,"AFe+, WW, CF, HHD, PC, NH"
160,Greta,https://vignette.wikia.nocookie.net/animalcrossing/images/b/bd/Greta_NH.png/revision/latest?cb=20200308192554,Female,Snooty,Mouse,September 5th (Virgo),(Virgo),"""yelp""",Blossom Tee,A hot-springs spa,Playing horseshoes,Florist,"Mocha,No milk,No sugar",Iconic,K.K. Jongara,"NL, HHD, NH"
45,Blanche,https://vignette.wikia.nocookie.net/animalcrossing/images/d/df/Blanche_NH.png/revision/latest/scale-to-width-down/265?cb=20200308184757,Female,Snooty,Ostrich,December 21st (Sagittarius),(Sagittarius),"""quite so""",Straw Shirt,A traditional tearoom,Dusting,Chef,"Blue Mountain,Lots of milk,Three spoonfuls of sugar",Official,K.K. Jongara,"NL, HHD, NH"
187,Julia,https://vignette.wikia.nocookie.net/animalcrossing/images/4/42/Julia_NH.png/revision/latest/scale-to-width-down/254?cb=20200308185019,Female,Snooty,Ostrich,July 31st (Leo),(Leo),"""dahling""","Red Aloha Shirt (AFe+)Purple Tie-Dye Tee(NL, PC)",Unknown,Computing,CEO,"Blue Mountain,Lots of milk,3 spoonfuls of sugar",Unknown,K.K. Sonata,"AFe+, NL, PC, NH"
294,Queenie,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f1/Queenie_NH.png/revision/latest/scale-to-width-down/271?cb=20200308185226,Female,Snooty,Ostrich,November 13th (Scorpio),(Scorpio),"""chicken""","Laced Shirt (AC, WW, CF), Amethyst Tee (NL)",A world of black and white,Hitting snooze,Dancer,"Kilimanjaro, A little bit of milk, One spoonful of sugar",Ornate,K.K. Gumbo,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
144,Friga,https://vignette.wikia.nocookie.net/animalcrossing/images/8/8c/Friga_NH.png/revision/latest/scale-to-width-down/347?cb=20200226232456,Female,Snooty,Penguin,October 16th (Libra),(Libra),"""brrmph""",Cozy Sweater  (AC)   Picnic Tee  (WW - NL) Candy Gingham Tank(NH),"A classic, royal room",Board games,Drummer,"Blend,A little bit of milk,One spoonful of sugar",Ornate,K.K. Tango,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
164,Gwen,https://vignette.wikia.nocookie.net/animalcrossing/images/c/cd/Gwen_NewLeaf_Official.png/revision/latest/scale-to-width-down/350?cb=20130721191552,Female,Snooty,Penguin,January 23rd (Aquarius),(Aquarius),"""h-h-hon""","Yellow Bolero (AC, WW, CF)Melon Gingham Tee (NL)",A day spa,Skimming books,CEO,"Blend,A little bit of milk,One spoonful of sugar",Ornate,Cafe K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
260,Pancetti,https://vignette.wikia.nocookie.net/animalcrossing/images/e/ec/Pancetti_NH.png/revision/latest/scale-to-width-down/272?cb=20200312184214,Female,Snooty,Pig,November 14th (Scorpio),(Scorpio),"""sooey""",Canary Shirt,A sleep sanctuary,Forgetting,President,"Blue Mountain,A little bit of milk,One spoonful of sugar",Modern,K.K. Fusion,"NL, HHD, NH"
140,Francine,https://vignette.wikia.nocookie.net/animalcrossing/images/3/34/Francine_NH.png/revision/latest/scale-to-width-down/251?cb=20200321123138,Female,Snooty,Rabbit,January 22nd (Aquarius),(Aquarius),"""karat""",Dark Polka Tee (AFe+ - NL) Dark Polka Dress(NH),A Chrissy shrine,Pretending to sleep,Designer,"Kilimanjaro,A little bit of milk,One spoonful of sugar",Ornate,I Love You,"AFe+, CF, NL, HHD, PC, NH"
361,Tiffany,https://vignette.wikia.nocookie.net/animalcrossing/images/f/f0/Tiffany_NH.png/revision/latest/scale-to-width-down/265?cb=20200321104144,Female,Snooty,Rabbit,January 9th (Capricorn),(Capricorn),"""bun bun""","Spider-web Tee (AFe+, WW, CF, NL)Chic Tuxedo Dress (NH)",A gorgeous celebrity home,Oversleeping,CEO,"Kilimanjaro,A little bit of milk, One spoonful of sugar",Rock 'n' roll,K.K. Rock,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH"
24,Baabara,https://vignette.wikia.nocookie.net/animalcrossing/images/2/2a/Baabara_NH_render.png/revision/latest/scale-to-width-down/350?cb=20200321204640,Female,Snooty,Sheep,March 28th (Aries),(Aries),"""daahling""",Purple Tie-Dye Tee,A ballet studio.,Drawing circles,Esthetician,"Mocha,No milk,No sugar",Ornate,K.K. Swing,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
72,Cashmere,https://vignette.wikia.nocookie.net/animalcrossing/images/e/eb/Cashmere_NH.png/revision/latest/scale-to-width-down/350?cb=20200312021827,Female,Snooty,Sheep,April 2nd (Aries),(Aries),"""baaaby""",Nebula Shirt,Unknown,Peeling apples,Chef,"Blend,The regular amount of milk,2 spoonfuls of sugar",Unknown,K.K. Country,"AF, AF+, AC, AFe+, NL, NH"
362,Timbra,https://vignette.wikia.nocookie.net/animalcrossing/images/6/6f/Timbra_NH.png/revision/latest/scale-to-width-down/350?cb=20200312022209,Female,Snooty,Sheep,October 21st (Libra),(Libra),"""pine nut""",Giraffe Tee,A stargazer's dream,Spoon bending,Stylist,"Blend,The regular amount of milk,Two spoonfuls of sugar",Ornate,K.K. Cruisin',"NL, NH"
386,Willow,https://vignette.wikia.nocookie.net/animalcrossing/images/6/62/Willow_NH.png/revision/latest?cb=20200321210031,Female,Snooty,Sheep,November 26th (Sagittarius),(Sagittarius),"""bo peep""",Bad Plaid Tee,An alpine-themed home,Playing Old Maid,Designer,"Mocha,  No milk,  No sugar",Cute,K.K. Étude,"AFe+, CF, NL, NH"
44,Blaire,https://vignette.wikia.nocookie.net/animalcrossing/images/c/c8/Blair_NH.png/revision/latest?cb=20200309020636,Female,Snooty,Squirrel,July 3rd (Cancer),(Cancer),"""nutlet""",Peachy Tee,A classy hotel,Calligraphy,Doctor,"Blend, No milk, No sugar.",Official,K.K. Island,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
235,Mint,https://vignette.wikia.nocookie.net/animalcrossing/images/5/5b/Mint_NH.png/revision/latest?cb=20200309012012,Female,Snooty,Squirrel,May 2nd (Taurus),(Taurus),"""ahhhhhh""",Gumdrop Tee,An ice-cream shop,Cramming for tests,Architect,"Blend,No milk,No sugar",Official,K.K. Soul,"AF, AF+, AC, AFe+, WW, CF, NL, NH"
270,Pecan,https://vignette.wikia.nocookie.net/animalcrossing/images/6/60/Pecan_NH.png/revision/latest/scale-to-width-down/350?cb=20200309020952,Female,Snooty,Squirrel,September 10 (Virgo),(Virgo),"""chipmunk""",Red-Check Tee (until NL)Milkmaid Dress (NH),A chic and relaxed room,Forgetting,Translator,"Blend,No milk,No sugar",Official,Café K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, PC, NH"
357,Tasha,https://vignette.wikia.nocookie.net/animalcrossing/images/4/45/Tasha.png/revision/latest/scale-to-width-down/350?cb=20200309023350,Female,Snooty,Squirrel,November 30th (Sagittarius),(Sagittarius),"""nice nice""","Leather Jerkin (AFe+)Shearling Coat (NL, PC)",Unknown,Photography,Hair stylist,"Mocha,The regular amount of milk,2 spoonfuls of sugar",Unknown,K.K. Disco,"AFe+, NL, PC, NH"
86,Claudia,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d6/Claudia_NH.png/revision/latest/scale-to-width-down/283?cb=20200308194357,Female,Snooty,Tiger,November 22nd (Scorpio),(Scorpio),"""ooh la la""",Spring Shirt,Unknown,Stomping around,CEO,"Mocha,A little bit of milk,One spoonful of sugar",Ornate,K.K. Synth,"NL, HHD, PC, NH"
143,Freya,https://vignette.wikia.nocookie.net/animalcrossing/images/5/50/NH-icon-Freya_00.png/revision/latest/scale-to-width-down/248?cb=20200224182111,Female,Snooty,Wolf,December 14th (Sagittarius),(Sagittarius),"""uff da""",Deer Shirt,A pro chef's kitchen,Peeling Apples,Judge,"Mocha,A little bit of milk,One spoonful of sugar",Rock 'n' roll,Rockin' K.K.,"AF, AF+, AC, AFe+, CF, NL, HHD, PC, NH"
376,Vivian,https://vignette.wikia.nocookie.net/animalcrossing/images/d/d3/NH-icon-Vivian_00.png/revision/latest/scale-to-width-down/248?cb=20200224182316,Female,Snooty,Wolf,January 26 (Aquarius),(Aquarius),"""piffle""",Subdued printAFe+Dogtooth TeeNL,Unknown,Dusting,Makeup Artist,"Blend, Lots of milk, 3 spoonfuls of sugar",Iconic,K.K. Cruisin',"AFe+, NL, NH"
385,Whitney,https://vignette.wikia.nocookie.net/animalcrossing/images/0/06/NH-icon-Whitney_00.png/revision/latest/scale-to-width-down/248?cb=20200224182330,Female,Snooty,Wolf,September 17th (Virgo),(Virgo),"""snappy""",Floral Knit Tee,A home bathed in white,Typing,Makeup artist,"Mocha, A little bit of milk,One spoonful of sugar",Ornate,Lucky K.K.,"WW, CF, NL, HHD, PC, Dōbutsu no Mori, NH"
