,Name,Gender,Personality,Species,Birthday,Horoscope,Initial_Phrase,Initial Clothes,Home_Request,Skill,Goal,Coffee,Style,Favorite_Song,Appearances,Rank_Overall,Rank,Image,Updated Date,Tier
250,Admiral,Male,Cranky,Bird,January 27th (Aquarius),Aquarius,"""aye aye""",Orange Pinstripe Shirt,Unknown,Writing About Pickles,Fisherman,"Blue Mountain,The regular amount of milk,2 spoonfuls of sugar",Unknown,Steep Hill,"AF, AF+, AC, AFe+, NL, NH",112,1,https://www.animalcrossingportal.com/images/villagers/icons/admiral.png,15th May 2020,Tier 5
78,Static,Male,Cranky,Squirrel,July 9th (Cancer),Cancer,"""krzzt""",Melon Tee,A game haven.,Backflipping,Guitarist,"Kilimanjaro,The regular amount of milk,Two spoonfuls of sugar",Rock 'N' Roll,Surfin' K.K.,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",74,4,https://www.animalcrossingportal.com/images/villagers/icons/static.png,15th May 2020,Tier 4
219,Renee,Female,Sisterly,Rhino,May 28th (Gemini),Gemini,"""yo yo yo""",Sailor's Tee,A vacant lot,Making Puns,Marathon Runner,"Kilimanjaro, The regular amount of milk, 2 spoonfuls of sugar",Rock 'N' Roll,Surfin' K.K.,"NL, HHD, NH",334,81,https://www.animalcrossingportal.com/images/villagers/icons/renee.png,15th May 2020,Tier 6
112,Alice,Female,Normal,Koala,August 19th (Leo),Leo,"""guvnor""",Barber Tee,A mix of antique pieces,Photography,Stylist,"Mocha,None milk,No sugar",Cute,Surfin' K.K.,"AFe+, WW, CF, HHD, PC, NH",119,8,https://www.animalcrossingportal.com/images/villagers/icons/alice.png,15th May 2020,Tier 5
180,Katt,Female,Sisterly,Cat,April 27th (Taurus),Taurus,"""purrty""",Pep-Squad Tee (NL)Old-School Jacket (NH),A gathering of Katts,Playing Old Maid,Swimmer,"Kilimanjaro,None at all,None at all",Rock 'N' Roll,Surfin' K.K.,"NL, NH",48,8,https://www.animalcrossingportal.com/images/villagers/icons/katt.png,15th May 2020,Tier 3
290,Derwin,Male,Lazy,Duck,May 25th (Gemini),Gemini,"""derrrrr""",Yellow-Bar Tee,A private study space,Brainteasers,Doctor,"Blend, None at all, None at all",Official,The K. Funk,"AF, AF+, AC, AFe+, WW, CF, NL, NH",181,70,https://www.animalcrossingportal.com/images/villagers/icons/derwin.png,15th May 2020,Tier 5
97,Rudy,Male,Jock,Cat,December 20th (Sagittarius),Sagittarius,"""mush""",Red-Grid Tee NLSimple Parka NH,A chess room,Cramming For Tests,Artist,"Mocha,Just a little bit of milk,One spoonful of sugar",Sporty,The K. Funk,"NL, NH",111,40,https://www.animalcrossingportal.com/images/villagers/icons/rudy.png,15th May 2020,Tier 4
262,Biff,Male,Jock,Hippo,March 29th (Aries),Aries,"""squirt""",Jagged Tee,A sci-fi space,Limboing,Basketball Player,"Mocha,No milk,No sugar",Flashy,The K. Funk,"AF, AF+, AC, AFe+, NL, NH",97,26,https://www.animalcrossingportal.com/images/villagers/icons/biff.png,15th May 2020,Tier 4
349,Prince,Male,Lazy,Frog,July 21st (Cancer),Cancer,"""burrup""",Yellow-Bar TeeYellow Striped Shirt (NH),A barbershop for beards,Playing Old Maid,Carpenter,"Kilimanjaro, None at all, None at all",Historical,To The Edge,"AF, AF+, AC, AFe+, CF, NL, HHD, PC, NH",326,73,https://www.animalcrossingportal.com/images/villagers/icons/prince.png,15th May 2020,Tier 6
240,Tabby,Female,Peppy,Cat,August 13th (Leo),Leo,"""me-WOW""","Fish-Bone Shirt (Animal Crossing & Animal Forest e+)Bone Shirt (Wild World, City Folk & New Leaf)","An old, abandoned hospital",Telling Jokes,Tennis Player,"Blue Mountain, The regular amount of milk,Two spoonfuls of sugar",Sporty,To The Edge,"AF, AF+, AC, AFe+, WW, CF, NL,  NH",364,110,https://www.animalcrossingportal.com/images/villagers/icons/tabby.png,15th May 2020,Tier 6
386,Wart Jr.,Male,Cranky,Frog,August 21st (Leo),Leo,"""grr-ribbit""","Static Shirt (AF, AC)   Sharp Outfit  (WW, CF, NL) ",A bonsai shrine,Writing Backwards,Detective,"Blue Mountain,The regular amount of milk,Two spoonfuls of sugar",Historical,To The Edge,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, NH",386,132,https://www.animalcrossingportal.com/images/villagers/icons/wartjr.png,15th May 2020,Tier 6
64,Olivia,Female,Snooty,Cat,February 3rd (Aquarius),Aquarius,"""purrr""",Floral Knit Tee,A piano conservatory,Brainteasers,Drummer,"Kilimanjaro,None at all,None at all",Modern,Two Days Ago,"AF, AF+, AC, AFe+, WW, CF, NL, NH",98,27,https://www.animalcrossingportal.com/images/villagers/icons/olivia.png,15th May 2020,Tier 4
384,Walker,Male,Lazy,Dog,June 10th (Gemini),Gemini,"""wuh""",No. 67 Shirt,A dream room...for a bike,Clearing My Plate,Photographer,"Mocha,The regular amount of milk,Two spoonfuls of sugar",Historical,Two Days Ago,"AFe+, WW, CF, NL",105,34,https://www.animalcrossingportal.com/images/villagers/icons/walker.png,15th May 2020,Tier 4
133,Bree,Female,Snooty,Mouse,July 7th (Cancer),Cancer,"""cheeseball""",Floral Knit Tee,A tidied-up home,Doodling,Dermatologist,"Blend,The regular amount of milk,Two spoonfuls of sugar",Official,Two Days Ago,"AFe+, WW, CF, HHD, PC, NH",144,33,https://www.animalcrossingportal.com/images/villagers/icons/bree.png,15th May 2020,Tier 5
165,Gala,Female,Normal,Pig,March 5th (Pisces),Pisces,"""snortie""",Daisy Tee,The town bank,Rock-Paper-Scissors,Violinist,"Mocha,No milk,No sugar",Cute,Two Days Ago,"CF, NL, HHD, NH",202,91,https://www.animalcrossingportal.com/images/villagers/icons/gala.png,15th May 2020,Tier 5
161,Filbert,Male,Lazy,Squirrel,June 3rd (Gemini),Gemini,"""bucko""","Vogue Top (AC, WW, CF)Checkered Tee (NL, PC)",A bounty of balloons,Vaulting,Pilot,"Blue Mountain, Lots of milk, Three spoonfuls of sugar.",Basic,Two Days Ago,"AF, AF+, AC, AFe+, WW, CF, NL, HHD, PC, NH",37,22,https://www.animalcrossingportal.com/images/villagers/icons/filbert.png,15th May 2020,Tier 2
366,Spike,Male,Cranky,Rhino,June 17th (Gemini),Gemini,"""punk""",Skull Tee(AFe+ - PC)GOLD Tee(NH),Unknown,Climbing Trees,Actor,"Kilimanjaro,The regular amount of milk,2 spoonfuls of sugar",Unknown,Unknown,"AF, AF+, AC, AFe+, NL, NH",355,102,https://www.animalcrossingportal.com/images/villagers/icons/spike.png,15th May 2020,Tier 6
338,Paolo,Male,Lazy,Elephant,May 5th (Taurus),Taurus,"""pal""","N64 Shirt (AF)GC Shirt/Diner Uniform (AF+)Cherry Shirt (PG, AFe+)Pastel-Stripe Tee (NL, PC)Star Tee (HHD)",Unknown,Competitive Eating,Hair Stylist,"Mocha,The regular amount of milk,2 spoonfuls of sugar",Unknown,Unknown,"AF, AF+, AC, AFe+, NL, NH",307,54,https://www.animalcrossingportal.com/images/villagers/icons/paolo.png,15th May 2020,Tier 6
322,Louie,Male,Jock,Gorilla,March 26th (Aries),Aries,"""hoo hoo ha""","Lil Bro's shirt (AF, AFe+)  Big Bro's Tee (HHD, NL) Muscle Tee (NH)",A 30th-anniversary party!,Doing Handstands,Rugby Player,"Blue Mountain,No milk,No sugar",Sporty,Unknown,"AF, AF+, AC, AFe+, HHD (Discontinued DLC), NL, NH",280,29,https://www.animalcrossingportal.com/images/villagers/icons/louie.png,15th May 2020,Tier 6
41,Megan,Female,Normal,Bear,March 13th (Pisces),Pisces,"""sundae""",Lemon Gingham Tee (PC),Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"PC, NH",287,36,https://www.animalcrossingportal.com/images/villagers/icons/megan.png,15th May 2020,Tier 6
126,Benjamin,Male,Lazy,Dog,August 3rd (Leo),Leo,"""alrighty""",Subdued-Print Tee,A life of self-sufficiency,Brainteasers,Archaeologist,"Kilimanjaro,Just a little bit of milk,One spoonful of sugar",Historical,Wandering,"NL, NH",134,23,https://www.animalcrossingportal.com/images/villagers/icons/benjamin.png,15th May 2020,Tier 5
355,Rex,Male,Lazy,Lion,July 24th (Leo),Leo,"""cool cat""",Blue-Bar Tee,Unknown,Chugging Milk,Forest Ranger,"Blend,A little bit of milk,1 spoonful of sugar",Basic,Wandering,"AF, AF+, AC, AFe+, NL, HHD, PC, NH",335,82,https://www.animalcrossingportal.com/images/villagers/icons/rex.png,15th May 2020,Tier 6
370,Tad,Male,Jock,Frog,August 3rd (Leo),Leo,"""sluuuurp""",One-Ball Tee,Unknown,Telling Jokes,Ceo,"Mocha,A little bit of milk,1 spoonful of sugar",Unknown,Wandering,"AF, AF+, AC, AFe+, NL, NH",365,111,https://www.animalcrossingportal.com/images/villagers/icons/tad.png,15th May 2020,Tier 6
